source,target,weight
0x1_0x0a910734751eef41296aeb5d636240c902ea8171,0x1_0xdcc3b9ae8d6fc5e3bd3fd374035cb679aa1c09fd,4253.623344459643
0x1_0x0a910734751eef41296aeb5d636240c902ea8171,0x1_0xdcc3b9ae8d6fc5e3bd3fd374035cb679aa1c09fd,4253.623344459643
0x1_0x0a910734751eef41296aeb5d636240c902ea8171,0x1_0xb00008edc2d358bf7812a5740c3f546b262a000b,1058.7657812302155
0x1_0x0a910734751eef41296aeb5d636240c902ea8171,0x1_0xb99bcff726fe908c72aad3edced34414da2ff6eb,4206.662891976087
0x1_0x0a910734751eef41296aeb5d636240c902ea8171,0x1_0xb99bcff726fe908c72aad3edced34414da2ff6eb,7731.381094368409
0x1_0x0a910734751eef41296aeb5d636240c902ea8171,0x1_0xa000071d5b7f57fb5c3bc7a6b6d75c57d73d000a,1783.831752117373
0x1_0x0a910734751eef41296aeb5d636240c902ea8171,0x1_0xf576c7f17bc5a834f8bfe6f810a09eb44818c739,1474.1322341779994
0x1_0x0a910734751eef41296aeb5d636240c902ea8171,0x1_0xe000008459b74a91e306a47c808061dfa372000e,1000.433145809083
0x1_0x0a910734751eef41296aeb5d636240c902ea8171,0x1_0x20e6068c64b886492fd5f85609649217c21bcb99,324.94705687516193
0x1_0x0a910734751eef41296aeb5d636240c902ea8171,0x1_0xf0000376376ec16c18f5e94fd5d04b0e766e000f,2835.6428724509265
0x1_0x0a910734751eef41296aeb5d636240c902ea8171,0x1_0xadeb5a75f3fad068cc46384a4d4b7a7e01fedb2f,2198.956306088681
0x1_0x1bbb72942e4f73753ca83787411dbed4476a5a7e,0x1_0xb00008edc2d358bf7812a5740c3f546b262a000b,41.52669857769025
0x1_0x1bbb72942e4f73753ca83787411dbed4476a5a7e,0x1_0xb00008edc2d358bf7812a5740c3f546b262a000b,609.4767110387834
0x1_0x1bbb72942e4f73753ca83787411dbed4476a5a7e,0x1_0xc00001c3cfcadfd33965a6bedfbc74e0ca01000c,86.27171593263155
0x1_0x1bbb72942e4f73753ca83787411dbed4476a5a7e,0x1_0xa000071d5b7f57fb5c3bc7a6b6d75c57d73d000a,154.9560058132147
0x1_0x1bbb72942e4f73753ca83787411dbed4476a5a7e,0x1_0xf576c7f17bc5a834f8bfe6f810a09eb44818c739,35.159353306473704
